Country,Region,Cercle,Commune,Village,Latitude,Longitude,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR
Mali,Bandiagara,Koro,Koro,Bam Koro,13.7363613,-3.0977469,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Bandiagara,Koro,Koro,Bana Gabou,13.7410419,-3.09503715,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Douentza,Douentza,Haire,Banaga,15.0676402,-2.22707752,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Bana-koro,13.7363613,-3.0977469,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Tombouctou,Gourma-Rharous,Rharous,Banguil,16.8166258,-2.1734733,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Banikane,Banikane I,16.9477755,-1.7506611,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Dallah,Baraoussi,15.135836,-2.57112052,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Barapireli,Barapireli,14.3046359,-3.0558889,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Bargou,13.9368307,-2.96799002,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Gao,Gao,Soni Ali Ber,Batal,16.3808199,-0.0118659,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Ansongo,Ansongo,Bazi-gourma,15.6997062,0.43141686,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Ansongo,Ansongo,Bazi Haoussa,15.6690534,0.50026561,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Beguebombo,13.9569324,-3.15062627,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Tombouctou,Tombouctou,Tombouctou,Bella farandi,16.7718,-3.00452515,17,ML17,Urban,Milieu urbain
Mali,Tombouctou,Tombouctou,Bourem Inaly,Bellasaou-zeina,16.7058044,-2.7161609,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Bourem Inaly,Bellassao-djandjina,16.7180156,-2.71104115,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Haire,Beni bebby,15.0048544,-2.16100877,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Benibana,14.099916,-3.16395627,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Tombouctou,Tombouctou,Bourem Inaly,Beragoungou,16.7226462,-2.59109365,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Berou na,13.886056,-2.96243002,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Gao,Gao,Soni Ali Ber,Berrah,16.3227042,-0.02216565,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Bih,13.9226196,-2.91159115,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Bandiagara,Koro,Koro,Biramaoude,14.0631601,-3.0756675,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Douentza,Douentza,Haire,Boni (haire),15.0713206,-2.22261765,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Tombouctou,Lafia,Bori,16.692483,-2.77232977,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
